Starting to receive mocap frames...

{'id_num': 42, 'pos': (0.31223270297050476, 0.3319547772407532, -0.0023667910136282444), 'rot': (0.9261971116065979, 0.37665075063705444, -0.00017176535038743168, 0.017126278951764107), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018214881129097193}
{'id_num': 42, 'pos': (0.312234103679657, 0.3319586515426636, -0.0023659532889723778), 'rot': (0.9262020587921143, 0.3766365051269531, -0.00018149751122109592, 0.017171118408441544), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001794628769857809}
{'id_num': 42, 'pos': (0.3122331500053406, 0.33196142315864563, -0.0023700897581875324), 'rot': (0.926199734210968, 0.37664175033569336, -0.00019809113291557878, 0.017174342647194862), 'markers': None, 'tracking_valid': True, 'marker_error': 0.000170847779372707}
{'id_num': 42, 'pos': (0.31223440170288086, 0.3319687843322754, -0.002374815521761775), 'rot': (0.9261888861656189, 0.3766656219959259, -0.00022420927416533232, 0.017237741500139236), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017228424258064479}
{'id_num': 42, 'pos': (0.3122358024120331, 0.33197399973869324, -0.0023777286987751722), 'rot': (0.9261732697486877, 0.376706063747406, -0.00019258334941696376, 0.017194386571645737), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001726582704577595}
{'id_num': 42, 'pos': (0.31223776936531067, 0.33197709918022156, -0.002374643925577402), 'rot': (0.926167905330658, 0.3767205476760864, -0.00020116024825256318, 0.01716596819460392), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001832176058087498}
{'id_num': 42, 'pos': (0.31223708391189575, 0.33198094367980957, -0.002372846705839038), 'rot': (0.9261614680290222, 0.37673673033714294, -0.00017805250536184758, 0.01716182753443718), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017449856386519969}
{'id_num': 42, 'pos': (0.31223493814468384, 0.33198902010917664, -0.0023757563903927803), 'rot': (0.9261582493782043, 0.3767423629760742, -0.00017844697867985815, 0.017209507524967194), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017667599604465067}
{'id_num': 42, 'pos': (0.31223154067993164, 0.33199286460876465, -0.0023734476417303085), 'rot': (0.9261561632156372, 0.37674278020858765, -0.00017482673865742981, 0.017313815653324127), 'markers': None, 'tracking_valid': True, 'marker_error': 0.000181468203663826}
{'id_num': 42, 'pos': (0.3122304677963257, 0.3319956064224243, -0.002371021080762148), 'rot': (0.926158607006073, 0.3767343759536743, -0.0001778233563527465, 0.017361104488372803), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018443726003170013}
{'id_num': 42, 'pos': (0.3122321367263794, 0.3319990336894989, -0.0023729531094431877), 'rot': (0.9261601567268372, 0.3767324388027191, -0.0001793178089428693, 0.017320413142442703), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017659440345596522}
