Starting to receive mocap frames...

{'id_num': 42, 'pos': (0.3509354591369629, 0.3455265462398529, -0.003480347106233239), 'rot': (0.9863664507865906, -0.164406418800354, 0.0006988889654166996, -0.0071718827821314335), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0003547698142938316}
{'id_num': 42, 'pos': (0.3509444296360016, 0.3455253839492798, -0.0034647416323423386), 'rot': (0.9863592982292175, -0.16442812979221344, 0.0010414770804345608, -0.007590531371533871), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0003228984714951366}
{'id_num': 42, 'pos': (0.3509465754032135, 0.3455226719379425, -0.003461553016677499), 'rot': (0.9863628149032593, -0.16441361606121063, 0.001000014366582036, -0.007465002126991749), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0003700144588947296}
{'id_num': 42, 'pos': (0.35094431042671204, 0.34552180767059326, -0.0034595741890370846), 'rot': (0.9863569140434265, -0.16444779932498932, 0.0010053180158138275, -0.007491408381611109), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00035652369842864573}
{'id_num': 42, 'pos': (0.35093632340431213, 0.3455222249031067, -0.00347218313254416), 'rot': (0.986366331577301, -0.1644032895565033, 0.0008072598138824105, -0.00724796811118722), 'markers': None, 'tracking_valid': True, 'marker_error': 0.000363289553206414}
{'id_num': 42, 'pos': (0.3509301245212555, 0.34552237391471863, -0.0034896975848823786), 'rot': (0.9863830804824829, -0.16429975628852844, 0.0010678824037313461, -0.007269260007888079), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00035549551830627024}
{'id_num': 42, 'pos': (0.35093340277671814, 0.345522940158844, -0.003487339708954096), 'rot': (0.9863768219947815, -0.16433991491794586, 0.0009200536296702921, -0.007240017876029015), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00034917666926048696}
{'id_num': 42, 'pos': (0.35094162821769714, 0.34551557898521423, -0.0034611602313816547), 'rot': (0.9863666296005249, -0.16438084840774536, 0.0012473193928599358, -0.00763557618483901), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0003449469804763794}
{'id_num': 42, 'pos': (0.3509332835674286, 0.3455160856246948, -0.0034742611460387707), 'rot': (0.9863746762275696, -0.16432975232601166, 0.0014642281457781792, -0.00765766017138958), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0003511078539304435}
{'id_num': 42, 'pos': (0.3509356677532196, 0.34552085399627686, -0.0034822423476725817), 'rot': (0.9863730669021606, -0.16434864699840546, 0.0012191475834697485, -0.00750621035695076), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00034987181425094604}
{'id_num': 42, 'pos': (0.35093802213668823, 0.34551137685775757, -0.0034678522497415543), 'rot': (0.9863716959953308, -0.16435350477695465, 0.001254111179150641, -0.007572645787149668), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00035097115323878825}
{'id_num': 42, 'pos': (0.3509354889392853, 0.34550827741622925, -0.003454608377069235), 'rot': (0.9863631725311279, -0.16439871490001678, 0.0012558521702885628, -0.007700041402131319), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00033186227665282786}
{'id_num': 42, 'pos': (0.35093119740486145, 0.34551167488098145, -0.003468043403699994), 'rot': (0.9863682389259338, -0.16438214480876923, 0.000994645175524056, -0.007436428219079971), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00036177263245917857}
{'id_num': 42, 'pos': (0.35092994570732117, 0.34551700949668884, -0.0034786483738571405), 'rot': (0.9863691329956055, -0.16438645124435425, 0.0008287588716484606, -0.007247411645948887), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00036012008786201477}
{'id_num': 42, 'pos': (0.3509339690208435, 0.3455137312412262, -0.00346729950979352), 'rot': (0.9863587617874146, -0.16443507373332977, 0.001042941934429109, -0.007512796204537153), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0003252986934967339}
{'id_num': 42, 'pos': (0.35092994570732117, 0.3455199599266052, -0.0034805024042725563), 'rot': (0.9863654971122742, -0.16440728306770325, 0.0007866792730055749, -0.007277206983417273), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00033500007702969015}
{'id_num': 42, 'pos': (0.3509310483932495, 0.3455207347869873, -0.0034837068524211645), 'rot': (0.9863690137863159, -0.16438792645931244, 0.0007273233495652676, -0.007232345174998045), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00034850725205615163}
{'id_num': 42, 'pos': (0.3509282171726227, 0.3455226719379425, -0.0034881539177149534), 'rot': (0.9863715171813965, -0.16437943279743195, 0.0006559576722793281, -0.007099566049873829), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0003579426556825638}
{'id_num': 42, 'pos': (0.3509344160556793, 0.3455231487751007, -0.003486286150291562), 'rot': (0.9863703846931458, -0.16438426077365875, 0.000700125761795789, -0.007140278350561857), 'markers': None, 'tracking_valid': True, 'marker_error': 0.000348895788192749}
{'id_num': 42, 'pos': (0.3509373366832733, 0.34552544355392456, -0.003485441906377673), 'rot': (0.9863659739494324, -0.16440577805042267, 0.0007156747742556036, -0.007232178933918476), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00033729226561263204}
{'id_num': 42, 'pos': (0.3509325087070465, 0.34552431106567383, -0.0034896344877779484), 'rot': (0.9863714575767517, -0.16438019275665283, 0.0006218940252438188, -0.007085362449288368), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0003574024885892868}
